JD,Phase,Flux,col4
1295.8641, 0.36467080, 1.0801684,
1295.8645, 0.36476359, 1.0686347,
1295.8759, 0.36709506, 1.0875328,
1295.8763, 0.36718308, 1.0796496,
1295.8809, 0.36813708, 1.0793140,
1295.8814, 0.36822748, 1.0753500,
1295.8922, 0.37044714, 1.0784363,
1295.8926, 0.37053516, 1.0680130,
1295.8991, 0.37186505, 1.0647731,
1295.8995, 0.37195545, 1.0627697,
1295.9052, 0.37312119, 1.0759537,
1295.9056, 0.37321159, 1.0809255,
1295.9136, 0.37485314, 1.0786457,
1295.9197, 0.37611403, 1.0693635,
1295.9202, 0.37620444, 1.0740610,
1295.9299, 0.37820760, 1.0657887,
1295.9304, 0.37829800, 1.0717655,
1295.9723, 0.38691492, 1.0192804,
1295.9830, 0.38912267, 1.0898348,
1295.9834, 0.38920832, 1.0730299,
1295.9884, 0.39023607, 1.0966147,
1295.9942, 0.39142083, 1.0944798,
1296.0066, 0.39396642, 1.0482055,
1296.0071, 0.39406396, 1.0538404,
1296.0127, 0.39522731, 1.0444678,
1296.0188, 0.39647631, 1.0716950,
1296.0192, 0.39656672, 1.0397724,
1296.0248, 0.39771580, 1.0537041,
1296.0253, 0.39780620, 1.0779016,
1296.0308, 0.39895053, 1.0518095,
1296.0383, 0.40049453, 1.0638711,
1296.0388, 0.40058731, 1.0626525,
1296.0444, 0.40172926, 1.0644102,
1296.0448, 0.40181728, 1.0746846,
1296.0504, 0.40298064, 1.0713705,
1296.0509, 0.40307104, 1.0682746,
1296.0572, 0.40436524, 1.0855675,
1296.0576, 0.40445802, 1.0590544,
1296.0692, 0.40684421, 1.0393950,
1296.0697, 0.40693461, 1.0597367,
1296.0760, 0.40822882, 1.0664353,
1296.0764, 0.40831922, 1.0650245,
1296.0828, 0.40962770, 1.0455689,
1296.0832, 0.40971810, 1.0965482,
1296.0888, 0.41086243, 1.0664289,
1296.0892, 0.41095283, 1.0782050,
1296.1068, 0.41457374, 1.0799742,
1296.1073, 0.41466890, 1.0684735,
1298.7943, 0.96698184, 0.95700258,
1298.7948, 0.96707700, 0.97874492,
1298.7974, 0.96761467, 0.96299249,
1298.7978, 0.96770507, 0.96792924,
1298.8005, 0.96824987, 0.97316271,
1298.8009, 0.96834266, 0.99399704,
1298.8036, 0.96888746, 0.95335054,
1298.8040, 0.96898262, 0.92142671,
1298.8067, 0.96953456, 0.97373140,
1298.8072, 0.96962497, 0.97616291,
1298.8098, 0.97016739, 0.96602511,
1298.8102, 0.97025779, 0.98318970,
1298.8129, 0.97080259, 0.94730246,
1298.8133, 0.97089062, 0.96728367,
1298.8159, 0.97142828, 0.95596504,
1298.8164, 0.97151869, 0.98138344,
1298.8198, 0.97222051, 0.97083187,
1298.8202, 0.97231091, 0.96926260,
1298.8229, 0.97285334, 0.95746773,
1298.8233, 0.97294374, 0.96839088,
1298.8260, 0.97348854, 0.96430027,
1298.8264, 0.97358370, 0.96177709,
1298.8308, 0.97448536, 0.96651065,
1298.8312, 0.97457577, 0.96508330,
1298.8349, 0.97532517, 0.96621841,
1298.8353, 0.97541319, 0.95884401,
1298.8390, 0.97616259, 0.96007389,
1298.8394, 0.97625300, 0.96738070,
1298.8431, 0.97700240, 0.96020430,
1298.8435, 0.97709518, 0.96634549,
1298.8472, 0.97784458, 0.96263534,
1298.8476, 0.97793498, 0.95847881,
1298.8512, 0.97868438, 0.95670187,
1298.8517, 0.97877479, 0.95846504,
1298.8554, 0.97953371, 0.95997840,
1298.8558, 0.97962411, 0.95527595,
1298.8602, 0.98052101, 0.96033198,
1298.8606, 0.98061379, 0.96009821,
1298.8643, 0.98136319, 0.95945990,
1298.8647, 0.98145360, 0.96014261,
1298.8684, 0.98220776, 0.95609540,
1298.8688, 0.98229816, 0.94837940,
1298.8725, 0.98304518, 0.97169405,
1298.8729, 0.98313559, 0.92607272,
1298.8765, 0.98388023, 0.95734334,
1298.8770, 0.98397301, 0.95912987,
1298.8806, 0.98472479, 0.95620173,
1298.8811, 0.98481282, 0.96085054,
1298.8866, 0.98595952, 0.95575553,
1298.8871, 0.98605230, 0.96003288,
1298.8918, 0.98701344, 0.95417738,
1298.8922, 0.98710146, 0.95633191,
1298.8969, 0.98806973, 0.94995373,
1298.8973, 0.98815776, 0.95656037,
1298.9028, 0.98927829, 0.95141381,
1298.9032, 0.98936870, 0.95811528,
1298.9087, 0.99050112, 0.95115131,
1298.9092, 0.99059153, 0.94941354,
1298.9138, 0.99155028, 0.95342016,
1298.9143, 0.99164069, 0.95227027,
1298.9190, 0.99261848, 0.95066822,
1298.9195, 0.99270888, 0.95031685,
